DOMANIALITE,ARRONDISSEMENT,GENRE,ESPECE,VARIETE OUCULTIVAR,CIRCONFERENCE (cm),HAUTEUR (m),STADE DE DEVELOPPEMENT,latitude,longitude
Alignement,17,Tilia,tomentosa,''Brabant'',45,6,Jeune (arbre),48.88996277726261,2.316664637369121
Alignement,17,Platanus,x hispanica,,35,5,Jeune (arbre),48.88312709688634,2.3076236647052
Alignement,13,Sophora,japonica,,75,8,Jeune (arbre)Adulte,48.82501305246615,2.388252376474091
Alignement,19,Tilia,tomentosa,,50,5,Jeune (arbre)Adulte,48.877317968304645,2.39324808116579
Alignement,18,Sophora,japonica,''Regent'',42,7,Jeune (arbre),48.8891054899862,2.33456087619526
Alignement,13,Aesculus,hippocastanum,''Baumannii'',80,8,Jeune (arbre)Adulte,48.8349208754186,2.34239297777482
Alignement,19,Trachycarpus,fortunei,,75,7,Adulte,48.89415514201253,2.37375776113916
Alignement,12,Platanus,x hispanica,,35,5,Jeune (arbre)Adulte,48.84756001424295,2.374581715032763
Alignement,16,Platanus,x hispanica,,118,18,Adulte,48.872575581644064,2.29396976678411
Alignement,17,Acer,negundo,,57,6,Adulte,48.886056600569475,2.2862987624517
Alignement,12,Tilia,tomentosa,,65,5,Jeune (arbre)Adulte,48.848410318515825,2.36791755299582
Alignement,12,Aesculus,hippocastanum,,155,10,Adulte,48.84358860479065,2.412847805673477
Alignement,15,Ulmus,n. sp.,,210,15,Adulte,48.836236407470565,2.31040881849674
Alignement,14,Platanus,x hispanica,,105,10,Jeune (arbre)Adulte,48.83356577396207,2.335039876269928
Alignement,13,Alnus,glutinosa,,30,5,Jeune (arbre),48.82027304366448,2.355576937773635
Alignement,20,Robinia,pseudoacacia,''Bessoniana'',85,6,Adulte,48.85658427999556,2.41181107086808
Alignement,12,Aesculus,hippocastanum,,35,5,Jeune (arbre),48.835225700085275,2.41221013086984
Alignement,20,Lagerstroemia,indica,,35,3,Jeune (arbre),48.87650872395615,2.40670867748641
Alignement,12,Tilia,platyphyllos,,95,16,Jeune (arbre)Adulte,48.8342281392708,2.442899543512784
Alignement,19,Sophora,japonica,,85,5,Adulte,48.892014634180434,2.378144132766224
Alignement,12,Platanus,x hispanica,,135,10,Adulte,48.84252030802843,2.3718973142398
Alignement,13,Aesculus,x carnea,''Briotii'',100,8,Adulte,48.82872206334344,2.3679886329597
Alignement,15,Juglans,nigra,,50,8,Jeune (arbre)Adulte,48.839421780668005,2.28388878973642
Alignement,17,Platanus,x hispanica,,20,5,,48.87479994574526,2.292290098820839
Alignement,19,Platanus,x hispanica,,35,5,,48.89028188196534,2.3974073936442
Alignement,12,Aesculus,hippocastanum,,180,10,Adulte,48.83674327218824,2.412786290121665
Alignement,18,Platanus,x hispanica,,124,14,Adulte,48.88532711539884,2.34936132189226
Alignement,16,Platanus,x hispanica,,250,20,Mature,48.86097680897827,2.292083596891052
Alignement,19,Tilia,tomentosa,,125,15,Adulte,48.89184557260093,2.36918134230299
Alignement,16,Tilia,x europaea,,100,10,Adulte,48.854822233676764,2.269412572477525
Alignement,13,Fraxinus,excelsior,''Diversifolia'',100,10,Adulte,48.81785898106357,2.3573653623386
Alignement,13,Ginkgo,biloba,''Saratoga'',20,5,,48.827680010742824,2.356952579084846
Alignement,17,Aesculus,hippocastanum,,170,16,Adulte,48.8874370410531,2.317487840501387
Alignement,13,Quercus,robur,''Fastigiata'',60,15,Adulte,48.81960649840041,2.35821469148537
Alignement,20,Fraxinus,angustifolia,''Raywood'',35,6,Jeune (arbre)Adulte,48.865931490331825,2.400512818644589
Alignement,16,Platanus,x hispanica,,85,12,Adulte,48.864831148183036,2.294379418736812
Alignement,12,Fraxinus,,,90,14,Adulte,48.83050897106267,2.438139880873202
Alignement,13,Pyrus,calleryana,''Chanticleer'',70,12,Jeune (arbre)Adulte,48.82416088913992,2.357687158119311
Alignement,20,Koelreuteria,paniculata,,60,8,Adulte,48.853380179650735,2.403845109096766
Alignement,18,Sophora,japonica,,84,18,Jeune (arbre)Adulte,48.8884154507775,2.3477401513492
Alignement,15,Sophora,japonica,,70,10,Adulte,48.84626420035181,2.27924194497083
Alignement,16,Tilia,tomentosa,,47,8,Adulte,48.873539841924654,2.293582951808326
Alignement,18,Sophora,japonica,,126,10,Adulte,48.897681040217904,2.35268987689483
Alignement,12,Juglans,nigra,,105,14,Jeune (arbre)Adulte,48.82804488834374,2.438716264728036
Alignement,12,Sophora,japonica,,105,10,Adulte,48.83545188421741,2.4019904393812
Alignement,20,Platanus,x hispanica,,160,16,Adulte,48.85541364437076,2.41008068308323
Alignement,16,Aesculus,hippocastanum,,195,22,Mature,48.86114715891021,2.268098101732376
Alignement,20,Aesculus,hippocastanum,,115,15,Adulte,48.85791171497509,2.399756420673874
Alignement,14,Platanus,x hispanica,,200,15,Adulte,48.82111611845896,2.32525078391229
Alignement,13,Platanus,x hispanica,,45,5,Jeune (arbre),48.8192538769438,2.360818661409848
Alignement,15,Platanus,x hispanica,,65,8,Adulte,48.84461867627275,2.290379644982675
Alignement,19,Platanus,x hispanica,,95,15,Adulte,48.879591096522894,2.38776152899146
Alignement,20,Prunus,serrulata,''Kanzan'',65,4,Adulte,48.87068702852169,2.399394241653225
Alignement,12,Tilia,cordata,,55,9,Jeune (arbre)Adulte,48.827404985934415,2.45378043621517
Alignement,12,Aesculus,hippocastanum,,72,6,Jeune (arbre),48.842112975518404,2.46338820143747
Alignement,16,Aesculus,x carnea,,100,16,Adulte,48.855786552458895,2.26205468144624
Alignement,15,Corylus,colurna,,20,5,,48.848161633543626,2.300593749930067
Alignement,19,Platanus,x hispanica,,70,10,Jeune (arbre)Adulte,48.878446124385476,2.381651381017939
Alignement,18,Cercis,siliquastrum,,20,5,,48.88516310077218,2.3509728125167
Alignement,16,Malus,tschonoskii,,36,7,Jeune (arbre),48.836208509808465,2.260781800902121
Alignement,13,Ulmus,,''Sapporo Autumn Gold'' RESISTA,25,2,Jeune (arbre),48.833595466567374,2.370783458727489
Alignement,13,Aesculus,hippocastanum,''Baumannii'',80,10,Jeune (arbre)Adulte,48.835959849603846,2.349714214390318
Alignement,14,Quercus,rubra,,80,6,Jeune (arbre)Adulte,48.839386258565504,2.320787386252507
Alignement,16,Platanus,x hispanica,,236,20,Mature,48.85631107929669,2.286247301731254
Alignement,16,Aesculus,hippocastanum,''Baumannii'',72,8,Jeune (arbre)Adulte,48.84791164186128,2.25238111470876
Alignement,15,Toona,sinensis,,120,10,Adulte,48.84182776587717,2.289862744427721
Alignement,14,Carpinus,betulus,''Fastigiata'',70,10,Jeune (arbre),48.82510503693408,2.313826826318077
Alignement,16,Aesculus,hippocastanum,,195,20,Mature,48.85760952018083,2.2669948327535
Alignement,15,Platanus,x hispanica,,80,12,Adulte,48.84489273646718,2.29055338277483
Alignement,15,Platanus,x hispanica,,230,15,Adulte,48.83063781823391,2.30198333398795
Alignement,17,Koelreuteria,paniculata,,20,5,,48.89892750149181,2.32334163685253
Alignement,13,Pyrus,calleryana,''Chanticleer'',35,5,Jeune (arbre),48.82807250400326,2.34573944345107
Alignement,16,Sophora,japonica,,81,8,Adulte,48.8623104034869,2.28657959732451
Alignement,15,Acer,platanoides,,60,8,Adulte,48.83421525103792,2.31053419095848
Alignement,15,Platanus,x hispanica,,105,12,Jeune (arbre)Adulte,48.829002280943975,2.300118003420237
Alignement,12,Platanus,x hispanica,,190,19,Adulte,48.82928140872746,2.42449880248561
Alignement,12,Tilia,platyphyllos,,110,18,Jeune (arbre)Adulte,48.835000367214924,2.43765480696499
Alignement,14,Fraxinus,ornus,,75,7,Jeune (arbre),48.818611785083576,2.33067216297193
Alignement,12,Gleditsia,triacanthos,,40,5,Jeune (arbre),48.841595266647346,2.38423760781497
Alignement,16,Aesculus,hippocastanum,,185,14,Adulte,48.876884334455596,2.274780151889
Alignement,20,Sophora,japonica,,45,6,Jeune (arbre),48.84959439483436,2.405015037751
Alignement,15,Acer,platanoides,,50,8,Jeune (arbre)Adulte,48.846163244477346,2.301680246703915
Alignement,12,Platanus,x hispanica,,110,17,Jeune (arbre)Adulte,48.83478999748822,2.436909228191859
Alignement,16,Platanus,x hispanica,,152,17,Adulte,48.848153290631465,2.270063749149294
Alignement,20,Tilia,cordata,,70,8,Jeune (arbre)Adulte,48.87011045798952,2.403092878365528
Alignement,16,Aesculus,hippocastanum,,145,22,Adulte,48.858440028696705,2.27092045042251
Alignement,18,Platanus,x hispanica,,130,14,Adulte,48.89641589276224,2.335351347804002
Alignement,13,Platanus,occidentalis,,60,10,Jeune (arbre)Adulte,48.82397802989248,2.35321563841703
Alignement,16,Pinus,nigra subsp. laricio,,26,2,Jeune (arbre),48.874385160753356,2.269806918528515
Alignement,13,Magnolia,grandiflora,,65,8,Jeune (arbre)Adulte,48.81800604961857,2.362091991154505
Alignement,13,Fraxinus,excelsior,''Westhof''s Glorie'',65,6,Jeune (arbre),48.835078233146874,2.352921152515309
Alignement,13,Ostrya,carpinifolia,,25,5,Jeune (arbre),48.824701062948314,2.368513156064443
Alignement,16,Platanus,x hispanica,,102,16,Adulte,48.87018050358593,2.28673923151871
Alignement,20,Celtis,australis,,80,6,Adulte,48.85226416490987,2.4051365479034
Alignement,12,Aesculus,hippocastanum,,35,6,Jeune (arbre),48.83579355045086,2.469736151422681
Alignement,17,Platanus,x hispanica,,60,8,Jeune (arbre)Adulte,48.888252726894024,2.296381019957544
Alignement,12,Tilia,cordata,,105,9,Adulte,48.82712963622109,2.45406607566746
Alignement,17,Platanus,x hispanica,,33,4,Jeune (arbre),48.888446724825144,2.29662802348126
Alignement,12,Tilia,tomentosa,,60,5,Jeune (arbre)Adulte,48.83301094311724,2.402904472864743
Alignement,16,Platanus,x hispanica,,220,25,Adulte,48.84252828785823,2.270122405055668
Alignement,16,Platanus,x hispanica,,60,14,Jeune (arbre)Adulte,48.84733461049085,2.25949215814323
Alignement,15,Nyssa,sylvatica,,20,5,,48.83937431553129,2.289772621446544
Alignement,16,Aesculus,hippocastanum,,140,17,Adulte,48.86359429956256,2.271065244622317
Alignement,16,Sophora,japonica,,20,5,,48.84369230788321,2.25495681297244
Alignement,15,Platanus,x hispanica,,65,10,Adulte,48.84318775130381,2.3207439618869
Alignement,12,Carpinus,betulus,''Fastigiata'',90,5,Adulte,48.845148335048016,2.367407989918153
Alignement,14,Toona,sinensis,,120,10,Jeune (arbre)Adulte,48.83943015626294,2.329945568647217
Alignement,14,Celtis,australis,,100,6,Jeune (arbre),48.82095185350009,2.33649306667633
Alignement,20,Tilia,cordata,,85,14,Adulte,48.86420122804967,2.392899248758036
Alignement,12,Platanus,x hispanica,,100,15,Adulte,48.834354115507765,2.433665740087469
Alignement,13,Tilia,tomentosa,,65,8,Jeune (arbre)Adulte,48.82650494403601,2.351181637572419
Alignement,12,Platanus,x hispanica,,50,10,Jeune (arbre),48.839986042253145,2.461218096456468
Alignement,17,Aesculus,hippocastanum,,160,13,Adulte,48.88560476420596,2.306901781258961
Alignement,20,Platanus,x hispanica,,110,18,Adulte,48.86961404344158,2.40293617475237
Alignement,18,Prunus,x schmittii,,55,9,Jeune (arbre)Adulte,48.89833057014166,2.363043396001157
Alignement,12,Tilia,platyphyllos,,110,10,Jeune (arbre)Adulte,48.83146803399063,2.44837371479027
Alignement,13,Platanus,occidentalis,,135,15,Adulte,48.83140850117129,2.341505790013951
Alignement,14,Cladrastis,kentukea,,50,5,Jeune (arbre),48.82622810650328,2.30553108460625
Alignement,13,Acer,campestre,,85,12,Adulte,48.821545387348145,2.343397557588795
Alignement,20,Tilia,tomentosa,''Brabant'',20,5,,48.87643554424565,2.406178804576109
Alignement,14,Prunus,padus,,60,5,Jeune (arbre),48.82498649782482,2.338299647945172
Alignement,20,Alnus,cordata,,75,15,Adulte,48.87304473886829,2.391653802580852
Alignement,12,Tilia,platyphyllos,,125,10,Adulte,48.835481141084564,2.40755879887926
Alignement,14,Sophora,japonica,,95,7,Jeune (arbre)Adulte,48.835114391355916,2.33034394155452
Alignement,16,Aesculus,x carnea,,206,18,Adulte,48.852703318584496,2.22741552911854
Alignement,14,Toona,sinensis,,95,6,Jeune (arbre)Adulte,48.83994277647948,2.328412203026625
Alignement,16,Acer,platanoides,,77,9,Adulte,48.84584548181068,2.262478419544287
Alignement,19,Liriodendron,tulipifera,,90,12,Adulte,48.885174362452375,2.374577754232463
Alignement,13,Aesculus,hippocastanum,''Baumannii'',75,10,Jeune (arbre)Adulte,48.82516210436527,2.362148817875463
Alignement,13,Ulmus,n. sp.,,30,5,Jeune (arbre),48.81934897054208,2.365162843674313
Alignement,14,Sophora,japonica,''Regent'',35,5,Jeune (arbre),48.82777037249317,2.32938815715022
Alignement,16,Platanus,x hispanica,,50,8,Jeune (arbre)Adulte,48.86431409164678,2.269777919437896
Alignement,15,Aesculus,x carnea,''Briotii'',60,5,Jeune (arbre)Adulte,48.836523352512344,2.30654778675948
Alignement,19,Sophora,japonica,,30,5,Jeune (arbre),48.888668027111606,2.374222424706843
Alignement,13,Platanus,occidentalis,,100,18,Adulte,48.83244217073186,2.3611335666265
Alignement,16,Platanus,x hispanica,,85,15,Adulte,48.8535519230559,2.282437847373113
Alignement,12,Platanus,x hispanica,,150,20,Adulte,48.83965398868295,2.408598164226997
Alignement,12,Aesculus,hippocastanum,''Baumannii'',25,5,Jeune (arbre),48.84008615267473,2.38111205128688
Alignement,17,Aesculus,hippocastanum,,63,8,Jeune (arbre)Adulte,48.88799962898623,2.31655350630791
Alignement,16,Platanus,x hispanica,,160,20,Adulte,48.837603396484376,2.264882456322795
Alignement,20,Fraxinus,angustifolia,''Raywood'',50,6,Jeune (arbre)Adulte,48.866239944528125,2.400071062144099
Alignement,17,Aesculus,hippocastanum,,105,10,Adulte,48.885523435468095,2.3070023998433
Alignement,12,Tilia,platyphyllos,,80,8,Adulte,48.83423530000532,2.445409990417985
Alignement,16,Platanus,x hispanica,,72,10,Jeune (arbre)Adulte,48.83551365620732,2.25460902822483
Alignement,16,Corylus,colurna,,74,10,Adulte,48.87426967486288,2.269046393578847
Alignement,16,Platanus,x hispanica,,105,15,Adulte,48.84815652419911,2.271027775654614
Alignement,15,Aesculus,hippocastanum,''Baumannii'',95,10,Adulte,48.84135435503013,2.31399000802549
Alignement,19,Juglans,nigra,,65,5,Jeune (arbre)Adulte,48.88671171753686,2.39613216626045
Alignement,19,Sophora,japonica,,120,18,Adulte,48.875641430942565,2.373171228996884
Alignement,16,Platanus,x hispanica,,200,22,Mature,48.84521357058092,2.264733467550875
Alignement,13,Aesculus,hippocastanum,''Baumannii'',75,10,Jeune (arbre)Adulte,48.82343171318663,2.365611347258922
Alignement,17,Platanus,x hispanica,,210,20,Mature,48.89610560864903,2.32604720606742
Alignement,12,Fraxinus,excelsior,''Diversifolia'',95,10,Adulte,48.84247729504561,2.405213929978063
Alignement,17,Sophora,japonica,,115,12,Adulte,48.88246229654854,2.31196920600188
Alignement,16,Platanus,x hispanica,,54,8,Jeune (arbre)Adulte,48.86254099518037,2.28651583631503
Alignement,20,Prunus,padus,,20,5,Jeune (arbre),48.85752735053471,2.410600839889738
Alignement,12,Fraxinus,ornus,,75,5,Jeune (arbre)Adulte,48.83787941754969,2.38294598985266
Alignement,12,Platanus,x hispanica,,165,15,Adulte,48.84268286197758,2.385099482603377
Alignement,16,Aesculus,x carnea,,54,8,Jeune (arbre),48.85861379261586,2.285319042385909
Alignement,15,Platanus,x hispanica,,120,18,Adulte,48.828659649199274,2.273849241095675
Alignement,12,Platanus,x hispanica,,50,10,Jeune (arbre)Adulte,48.84750309579733,2.388789060305145
Alignement,12,Platanus,x hispanica,,155,15,Adulte,48.833874510497985,2.394628925676187
Alignement,13,Tilia,tomentosa,,50,4,Jeune (arbre)Adulte,48.82249348930419,2.373172821519972
Alignement,14,Tilia,tomentosa,,110,10,Jeune (arbre)Adulte,48.82531269849932,2.327309823435075
Alignement,12,Sophora,japonica,,60,5,Jeune (arbre),48.83806091967157,2.403826843689282
Alignement,15,Fraxinus,ornus,,20,5,,48.837326611910356,2.310910580263777
Alignement,15,Aesculus,hippocastanum,''Baumannii'',75,10,Adulte,48.8409208367325,2.314338907324221
Alignement,12,Tilia,cordata,,80,5,Adulte,48.8338087050804,2.385927819998179
Alignement,12,Platanus,x hispanica,,30,5,Jeune (arbre),48.83888315762799,2.390089627607695
Alignement,20,Tilia,x europaea,''Pallida'',100,12,Adulte,48.85617713620596,2.402740004062557
Alignement,12,Tilia,tomentosa,,130,15,Adulte,48.837786737172806,2.39206684170608
Alignement,12,Acer,n. sp.,,60,8,Jeune (arbre),48.83907266128429,2.431914921650699
Alignement,12,Quercus,n. sp.,,60,9,Jeune (arbre),48.82796330856663,2.46378592741655
Alignement,19,Populus,x canadensis,''Robusta'',120,15,Adulte,48.88638301918016,2.374243720790867
Alignement,16,Pinus,nigra subsp. salzmannii,,24,3,Jeune (arbre),48.861966971251384,2.247245108529669
Alignement,18,Aesculus,x carnea,''Briotii'',165,11,Adulte,48.8993806679026,2.33914423485468
Alignement,16,Platanus,x hispanica,,177,15,Adulte,48.8457676347343,2.255967345667948
Alignement,19,Prunus,serrulata,,35,5,Jeune (arbre),48.89865958896507,2.379175309537
Alignement,19,Tilia,x europaea,''Euchlora'',90,7,Adulte,48.88872545956063,2.37842184214619
Alignement,18,Tilia,tomentosa,,70,8,Jeune (arbre)Adulte,48.893421213206445,2.32896042145696
Alignement,19,Alnus,n. sp.,,100,15,Adulte,48.89023145647884,2.38725468688526
Alignement,17,Platanus,x hispanica,,105,14,Adulte,48.88677402039206,2.29689102983392
Alignement,12,Tilia,platyphyllos,,20,5,,48.825693080178254,2.45590582794631
Alignement,15,Tilia,cordata,,125,12,Adulte,48.83748362046691,2.295714031096439
Alignement,20,Sophora,japonica,,60,8,Jeune (arbre)Adulte,48.874721785631614,2.389351637474267
Alignement,15,Aesculus,hippocastanum,''Baumannii'',100,12,Adulte,48.84142124245416,2.318629296878753
Alignement,12,Fraxinus,angustifolia,''Raywood'',20,5,,48.833634211417944,2.403201622303667
Alignement,13,Tilia,tomentosa,,100,10,Jeune (arbre)Adulte,48.83021957188875,2.356977963195556
Alignement,16,Gymnocladus,dioica,,20,5,,48.85993327920706,2.27397859878785
Alignement,13,Cercis,siliquastrum,,45,5,Jeune (arbre),48.82921074588111,2.356623439563528
Alignement,16,Platanus,x hispanica,,230,25,Mature,48.845079952747035,2.265873064292386
Alignement,12,Tilia,platyphyllos,,120,13,Jeune (arbre)Adulte,48.83461725313863,2.4386936002488
Alignement,15,Aesculus,x carnea,,170,15,Adulte,48.83718056991708,2.270766459773208
Alignement,19,Platanus,x hispanica,,210,20,Mature,48.88536290338497,2.39680474596148
Alignement,18,Platanus,x hispanica,,25,5,Jeune (arbre),48.897752390762754,2.3403205756905
Alignement,13,Sophora,japonica,,75,8,Jeune (arbre)Adulte,48.827189503272656,2.37491694389802
Alignement,12,Acer,platanoides,,105,12,Adulte,48.82217402456926,2.454599464516883
Alignement,16,Aesculus,hippocastanum,,116,13,Adulte,48.872317197010105,2.253854184324488
Alignement,20,Platanus,x hispanica,,180,15,Adulte,48.8680549557018,2.41090430969266
Alignement,12,Pyrus,calleryana,''Chanticleer'',70,5,Adulte,48.84508857042131,2.41221823083803
Alignement,13,Quercus,robur,''Fastigiata'',100,15,Adulte,48.81996238426348,2.35764709448313
Alignement,16,Acer,pseudoplatanus,,190,16,Adulte,48.85079009790103,2.26206647097775
Alignement,12,Platanus,x hispanica,,150,20,Adulte,48.842740430829316,2.410019964432519
Alignement,19,Acer,platanoides,,35,5,Jeune (arbre),48.89072690523038,2.375996846785463
Alignement,20,Parrotia,persica,''Vanessa'',20,5,,48.85082015431337,2.41131443994694
Alignement,13,Platanus,x hispanica,,45,6,Jeune (arbre)Adulte,48.82661391716517,2.35346424828254
Alignement,13,Platanus,x hispanica,,0,0,,48.84371247411551,2.365959364498888
Alignement,19,Tilia,tomentosa,,80,6,Jeune (arbre)Adulte,48.87671133807778,2.393339450529146
Alignement,14,Platanus,x hispanica,,65,7,Jeune (arbre),48.83183120765066,2.3401418433061
Alignement,13,Aesculus,hippocastanum,,95,8,Jeune (arbre)Adulte,48.818598380364676,2.352881140869724
Alignement,20,Acer,negundo,,65,10,Jeune (arbre)Adulte,48.86477069623062,2.400448518571596
Alignement,13,Platanus,orientalis,,160,20,Adulte,48.82110896462,2.3674367280203
Alignement,12,Platanus,x hispanica,,140,15,Adulte,48.837190310005305,2.382092880541783
Alignement,20,Tilia,tomentosa,,60,8,Jeune (arbre)Adulte,48.863398361216476,2.38927436585107
Alignement,16,Platanus,x hispanica,,161,22,Adulte,48.85900319627018,2.243819872197091
Alignement,12,Acer,platanoides,,85,8,Jeune (arbre)Adulte,48.83746664901602,2.440086303619509
Alignement,12,Aesculus,hippocastanum,,200,10,Adulte,48.8471119563534,2.40739261939069
Alignement,15,Tilia,tomentosa,,50,8,Jeune (arbre)Adulte,48.843398447834176,2.282989911227264
Alignement,18,Prunus,x schmittii,,55,8,Jeune (arbre)Adulte,48.89832769928997,2.3629432573429
Alignement,16,Aesculus,x carnea,''Briotii'',43,7,Jeune (arbre)Adulte,48.856804763996905,2.266008775200493
Alignement,14,Acer,platanoides,,60,6,Jeune (arbre),48.841162777598456,2.32969689577061
Alignement,20,Platanus,x hispanica,,170,20,Adulte,48.87064093682312,2.393513651723437
Alignement,16,Platanus,x hispanica,,185,25,Adulte,48.86768091306502,2.2337846172913
Alignement,14,Fraxinus,ornus,,80,9,Jeune (arbre)Adulte,48.82438086650379,2.310030391631382
Alignement,16,Celtis,australis,,57,9,Jeune (arbre)Adulte,48.86666526641749,2.2501174570012
Alignement,12,Tilia,platyphyllos,,130,13,Jeune (arbre)Adulte,48.8260875242312,2.462600738648173
Alignement,19,Platanus,orientalis,,145,20,Adulte,48.8802516364504,2.37414176824167
Alignement,12,Platanus,x hispanica,,215,20,Mature,48.83905571857994,2.408405814634
Alignement,19,Non spécifié,n. sp.,,120,10,Adulte,48.889035026728045,2.396935446914537
Alignement,17,Paulownia,tomentosa,,98,10,Adulte,48.87553124778331,2.293592291195645
Alignement,14,Tilia,tomentosa,,90,8,Jeune (arbre)Adulte,48.82521811816324,2.3271081023291
Alignement,15,Corylus,colurna,,55,7,Jeune (arbre)Adulte,48.83628301655376,2.307717463038
Alignement,14,Platanus,x hispanica,,125,12,Adulte,48.82095634879735,2.32578273889958
Alignement,19,Sophora,japonica,,40,6,Jeune (arbre),48.8753490882317,2.373505226444444
Alignement,17,Platanus,x hispanica,,110,10,Adulte,48.8866872406427,2.296651612896334
Alignement,20,Malus,n. sp.,,60,5,Jeune (arbre)Adulte,48.8709175381516,2.3822640300657
Alignement,14,Gleditsia,triacanthos,''Skyline'',50,6,Jeune (arbre),48.821900495252926,2.32637678242459
Alignement,16,Acer,pseudoplatanus,,120,15,Adulte,48.854288875869166,2.263190595438748
Alignement,19,Sophora,japonica,,110,15,Adulte,48.88404964850455,2.39947066221391
Alignement,16,Aesculus,hippocastanum,,48,6,Jeune (arbre)Adulte,48.85758350499434,2.268594521013643
Alignement,12,Platanus,x hispanica,,160,15,Adulte,48.839118604000504,2.39654483685509
Alignement,20,Aesculus,hippocastanum,''Baumannii'',85,10,Adulte,48.857829375813445,2.40284743742903
Alignement,14,Sophora,japonica,,60,6,Jeune (arbre),48.84043663057734,2.326937337621032
Alignement,12,Sophora,japonica,,100,10,Adulte,48.83551628931641,2.402077123983272
Alignement,19,Platanus,x hispanica,,170,18,Adulte,48.89894694094134,2.3775905146595
Alignement,20,Aesculus,hippocastanum,,155,12,Adulte,48.84712377147624,2.41314304398422
Alignement,13,Celtis,australis,,95,15,Adulte,48.81699708558324,2.347542563502601
Alignement,13,Platanus,occidentalis,,110,15,Adulte,48.82994014661196,2.3516605785364
Alignement,16,Aesculus,hippocastanum,''Baumannii'',55,10,Jeune (arbre)Adulte,48.856810755460664,2.265811144856085
